all,left,train,non-funct,diff,compose->pmi,gm,precision,0.00650504288386,0.0113505551065,0.508750949616,5.8964202314e-06
all,left,train,non-funct,diff,compose->pmi,gm,cosine,0.042651586945,0.050128478481,0.600044384131,3.19477987815e-08
all,right,train,non-funct,diff,compose->pmi,gm,recall,0.484636868398,0.227563459922,0.291878605016,0.00639497606824
all,right,train,non-funct,diff,compose->pmi,gm,precision,0.08560987162,0.09477975264,0.363173963242,0.000588649133655
all,right,train,non-funct,diff,compose->pmi,gm,cosine,0.135780193279,0.113947997256,0.576444888778,6.32194168332e-09
all,all,train,non-funct,diff,compose->pmi,min,recall,0.41171490022,0.258903733987,0.319340283503,4.56973508092e-05
all,all,train,non-funct,diff,compose->pmi,min,precision,0.0483633122083,0.0786140531416,0.20554535643,0.00980785367377
all,all,train,non-funct,diff,compose->pmi,min,cosine,0.0849302098319,0.0962560333259,0.428568198018,2.14825327357e-08
all,left,train,non-funct,diff,compose->pmi,min,recall,0.348019016237,0.284831980981,0.425674305306,0.000214898045087
all,left,train,non-funct,diff,compose->pmi,min,precision,0.00627482450433,0.011022867692,0.489381571076,1.48478828216e-05
all,left,train,non-funct,diff,compose->pmi,min,cosine,0.0374970832498,0.0449418335912,0.56506437009,2.8422522719e-07
all,right,train,non-funct,diff,compose->pmi,min,recall,0.464301036997,0.221984640605,0.296026991942,0.00565077732614
all,right,train,non-funct,diff,compose->pmi,min,precision,0.083110784615,0.0922617779065,0.36039011709,0.000653172964884
all,right,train,non-funct,diff,compose->pmi,min,cosine,0.124090116661,0.108885086812,0.563837368579,1.57903608162e-08
all,all,train,non-funct,diff,compose->pmi,selectother,recall,0.44088483166,0.254531286409,0.349123564299,7.4162031776e-06
all,all,train,non-funct,diff,compose->pmi,selectother,precision,0.0193999786244,0.0386364617684,0.284152076372,0.000310237990482
all,all,train,non-funct,diff,compose->pmi,selectother,cosine,0.0424390521517,0.0514740005026,0.584694976431,8.97879940693e-16
all,left,train,non-funct,diff,compose->pmi,selectother,recall,0.516676501463,0.307458090345,0.301039992287,0.010739629743
all,left,train,non-funct,diff,compose->pmi,selectother,precision,0.00211710560028,0.003365228039,0.573171828315,1.75160204804e-07
all,left,train,non-funct,diff,compose->pmi,selectother,cosine,0.0262252464284,0.0282862805318,0.59020671412,6.06433329836e-08
all,right,train,non-funct,diff,compose->pmi,selectother,recall,0.378312639149,0.177685406121,0.336604329412,0.00153029992313
all,right,train,non-funct,diff,compose->pmi,selectother,precision,0.0336683970513,0.0475988222401,0.474734752979,3.87277839298e-06
all,right,train,non-funct,diff,compose->pmi,selectother,cosine,0.0558248685047,0.0614836288379,0.661533891197,4.09931813707e-12
all,all,train,funct,diff,compose->pmi,selectother,recall,0.561182285112,0.475583582131,-0.0718850637307,0.370959409714
all,all,train,funct,diff,compose->pmi,selectother,precision,0.298474917533,0.337327824356,0.10910295216,0.173767961296
all,all,train,funct,diff,compose->pmi,selectother,cosine,0.3761746025,0.37898771136,0.0729333110372,0.364005703298
all,left,train,funct,diff,compose->pmi,selectother,recall,0.0408320175657,0.0737789932352,0.423312755913,0.000234961508254
all,left,train,funct,diff,compose->pmi,selectother,precision,0.0327214878594,0.0619470145231,0.486981114794,1.65841766513e-05
all,left,train,funct,diff,compose->pmi,selectother,cosine,0.0231425171753,0.0350220613104,0.457512755407,6.03833906122e-05
all,right,train,funct,diff,compose->pmi,selectother,recall,0.990773785062,0.0181301693509,-0.295969326054,0.00566057248691
all,right,train,funct,diff,compose->pmi,selectother,precision,0.517876004821,0.313243478784,0.147472308195,0.17541393484
all,right,train,funct,diff,compose->pmi,selectother,cosine,0.667631324105,0.270847051398,0.164851962174,0.129316747961
